time,zarr_version,xarray_version,concurrency_limit
72.7,2.18.0,2025.1.1,None
6.8,3.0.1,2024.11.0,100
84.56,2.18.0,2025.1.1,None
6.32,3.0.1,2024.11.0,100
69.75,2.18.0,2025.1.1,None
6.31,3.0.1,2024.11.0,100
70.42,2.18.0,2025.1.1,None
5.69,3.0.1,2024.11.0,100
69.95,2.18.0,2025.1.1,None
6.07,3.0.1,2024.11.0,100
62.12,2.18.0,2025.1.1,None
6.37,3.0.1,2024.11.0,100
67.61,2.18.0,2025.1.1,None
6.52,3.0.1,2024.11.0,100
66.65,2.18.0,2025.1.1,None
6.29,3.0.1,2024.11.0,100
61.11,3.0.1,2025.1.1,1
59.71,3.0.1,2025.1.1,1
57.53,3.0.1,2025.1.1,1
60.34,3.0.1,2025.1.1,1
61.46,3.0.1,2025.1.1,1
61.04,3.0.1,2025.1.1,1
61.11,3.0.1,2025.1.1,1
59.61,3.0.1,2025.1.1,1
14.98,3.0.1,2025.1.1,10
14.82,3.0.1,2025.1.1,10
14.7,3.0.1,2025.1.1,10
15.14,3.0.1,2025.1.1,10
14.75,3.0.1,2025.1.1,10
14.06,3.0.1,2025.1.1,10
14.42,3.0.1,2025.1.1,10
14.48,3.0.1,2025.1.1,10
5.42,3.0.1,2025.1.1,100
5.36,3.0.1,2025.1.1,100
5.16,3.0.1,2025.1.1,100
5.2,3.0.1,2025.1.1,100
5.26,3.0.1,2025.1.1,100
5.19,3.0.1,2025.1.1,100
5.72,3.0.1,2025.1.1,100
5.17,3.0.1,2025.1.1,100
5.63,3.0.1,2025.1.1,200
4.97,3.0.1,2025.1.1,200
5.1,3.0.1,2025.1.1,200
5.09,3.0.1,2025.1.1,200
5.1,3.0.1,2025.1.1,200
5.25,3.0.1,2025.1.1,200
4.7,3.0.1,2025.1.1,200
5.3,3.0.1,2025.1.1,200
